hgnc_symbol,nominations,initial_nomination,teams,study,input_data,pharos_class,classification,safety_bucket_definition,abability_bucket_definition,validation_study_details
NRXN3,1,"2018","Duke","ADNI","Genetics, Metabolome",undefined,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
NSF,1,"2019","Chang Lab","Mayo, ROSMAP","Genetics, RNA",No value,"No value","No value","No value",""
NTN1,1,"2020","Emory","Banner, ROSMAP","Protein",Tbio,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","1: Secreted protein. Highly accessible to antibody-based therapies.","validation studies ongoing"
NTN3,1,"2020","Emory","Banner, ROSMAP","Protein",Tdark,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","1: Secreted protein. Highly accessible to antibody-based therapies.","validation studies ongoing"
NUAK2,1,"2018","Duke","ADNI","Genetics, Metabolome",Tchem,"1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
NUPR1,1,"2018","Columbia-Rush","ROSMAP","Genetics, RNA",Tbio,"13: Unknown: There is no information on ligands or structure in any of the categories above.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","4: Limited evidence that target is a secreted protein, ECM component or cell membrane-bound protein.","not prioritized for experimental validation"
NXPH1,1,"2020","Emory","Banner, ROSMAP","Protein",Tbio,"13: Unknown: There is no information on ligands or structure in any of the categories above.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","1: Secreted protein. Highly accessible to antibody-based therapies.","validation studies ongoing"
NYAP1,1,"2018","Duke","ADNI","Genetics, Metabolome",Tdark,"11: Druggable protein class, no other information: Is a member of a PHAROS druggable class of protein (enzyme, receptor, ion channel, nuclear hormone receptor, kinase) but does not meet any of the criteria above.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","4: Limited evidence that target is a secreted protein, ECM component or cell membrane-bound protein.","not prioritized for experimental validation"
OLFM1,1,"2018","Emory","ACT, BLSA","Protein",Tbio,"3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","1: Secreted protein. Highly accessible to antibody-based therapies.","not prioritized for experimental validation"
OLFML3,1,"2020","Emory","Banner, ROSMAP","Protein",Tdark,"13: Unknown: There is no information on ligands or structure in any of the categories above.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","1: Secreted protein. Highly accessible to antibody-based therapies.","validation studies ongoing"
OPALIN,1,"2018","Mayo-UFL-ISB","Mayo","RNA",Tdark,"13: Unknown: There is no information on ligands or structure in any of the categories above.","2: No major issues found from gene expression, genetic or pharmacological profiling, but has not been extensively tested in humans.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
OXR1,1,"2018","MSSM","MSBB","Genetics, RNA",Tbio,"12: Potentially low ligandability: Has a structure but there is no evidence of a druggable pocket.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","6: Protein located in intracellular compartment.","not prioritized for experimental validation"
P2RY12,1,"2018","Mayo-UFL-ISB","Mayo","RNA",Tclin,"1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","1: Clinical data, evidence of tolerable safety profile in desired modality; target has a drug in phase IV in the appropriate modality, with good safety profile.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
P2RY13,1,"2018","Mayo-UFL-ISB","Mayo","RNA",Tchem,"1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
PACSIN1,1,"2018","Emory","ACT, BLSA","Protein",Tbio,"3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","6: Protein located in intracellular compartment.","not prioritized for experimental validation"
